Date,Nino34,IOD,PDO,NPGO,ONI,SOI,Nino4,IPO,Cloud
1/3/1988,0.604210526,0.69602649,0.572250489,0.72,0.59,0.5,0.716049383,0.641534046,0.157396448
2/20/1988,0.532631579,0.642384106,0.635596869,0.67,0.52,0.45,0.645061728,0.519436473,1
3/7/1988,0.52,0.57615894,0.664598826,0.7,0.43,0.616666667,0.604938272,0.535611792,0.000135438
4/24/1988,0.355789474,0.472847682,0.63446184,0.79,0.34,0.533333333,0.429012346,0.4646491,0.491411842
5/10/1988,0.237894737,0.277483444,0.611545988,0.82,0.2,0.666666667,0.330246914,0.358726846,0
6/4/1988,0.151578947,0.333112583,0.557221135,0.82,0.11,0.533333333,0.271604938,0.237151057,0.109238031
8/7/1988,0.134736842,0.408609272,0.51553816,0.81,0.11,0.683333333,0.225308642,0.193060266,0.531714778
8/23/1988,0.155789474,0.452980132,0.419158513,0.76,0.16,0.766666667,0.234567901,0.238194626,0.60754343
9/15/1988,0.178947368,0.370860927,0.361878669,0.75,0.14,0.816666667,0.191358025,0.243151578,0.474252768
10/17/1988,0.018947368,0.332450331,0.488199609,0.78,0.07,0.75,0.021604938,0.105139577,0.043881656
11/2/1988,0,0.303311258,0.497142857,0.74,0,0.8,0,0.133576833,4.77E-05
12/13/1988,0.042105263,0.366225166,0.469099804,0.67,0,0.716666667,0.018518519,0.116618836,0.016918132
1/14/1989,0.048421053,0.146357616,0.302778865,0.75,0.02,0.766666667,0.012345679,0.085050874,0.101452949
2/15/1989,0.170526316,0.182119205,0.302759295,0.65,0.09,0.716666667,0.089506173,0.180276546,0.099539499
3/26/1989,0.178947368,0.066887417,0.319804305,0.69,0.16,0.7,0.12345679,0.220453953,0.030285995
4/11/1989,0.225263158,0.015231788,0.514833659,0.67,0.23,0.783333333,0.209876543,0.281241847,0.002586108
5/6/1989,0.290526316,0.070198675,0.558747554,0.64,0.27,0.716666667,0.280864198,0.294547352,3.90E-05
6/14/1989,0.324210526,0.02781457,0.536007828,0.63,0.32,0.633333333,0.25,0.360553092,0.355555849
8/10/1989,0.36,0.213245033,0.553502935,0.74,0.34,0.666666667,0.330246914,0.381424472,0.599208473
8/26/1989,0.336842105,0.255629139,0.45667319,0.65,0.34,0.466666667,0.320987654,0.336551004,0.188551499
9/11/1989,0.378947368,0.350993377,0.464911937,0.65,0.36,0.6,0.391975309,0.330811375,0.017850573
10/13/1989,0.374736842,0.341721854,0.430313112,0.62,0.36,0.65,0.391975309,0.328724237,3.89E-05
10/29/1989,0.395789474,0.389403974,0.393855186,0.51,0.36,0.483333333,0.425925926,0.308374641,1.82E-05
12/16/1989,0.431578947,0.337748344,0.507514677,0.53,0.39,0.433333333,0.540123457,0.449778242,0.429056839
1/24/1990,0.463157895,0.386092715,0.458649706,0.59,0.43,0.5,0.580246914,0.457083225,0.027496175
2/18/1990,0.534736842,0.571523179,0.318336595,0.51,0.45,0.216666667,0.641975309,0.464127315,0.024153678
3/13/1990,0.501052632,0.447682119,0.355499022,0.65,0.48,0.45,0.648148148,0.417427602,0.203895877
4/14/1990,0.513684211,0.338410596,0.517084149,0.59,0.48,0.55,0.598765432,0.502217584,1.13E-06
5/16/1990,0.526315789,0.305298013,0.490587084,0.54,0.48,0.716666667,0.583333333,0.460474824,0
6/16/1990,0.458947368,0.152980132,0.476242661,0.54,0.48,0.566666667,0.540123457,0.453952518,0.140310501
7/19/1990,0.490526316,0.355629139,0.491272016,0.51,0.48,0.6,0.592592593,0.462040177,0.451756556
8/13/1990,0.494736842,0.355629139,0.483659491,0.5,0.5,0.483333333,0.617283951,0.51213149,0.615983176
9/5/1990,0.484210526,0.313245033,0.53072407,0.53,0.5,0.4,0.589506173,0.481607096,0.264170854
10/16/1990,0.486315789,0.354304636,0.393111546,0.53,0.48,0.566666667,0.638888889,0.457083225,1.58E-05
11/8/1990,0.475789474,0.391390728,0.237573386,0.44,0.5,0.433333333,0.62345679,0.417427602,0.000174812
12/19/1990,0.526315789,0.518543046,0.14667319,0.32,0.5,0.483333333,0.706790123,0.421080094,0.033733243
1/20/1991,0.566315789,0.505298013,0.209941292,0.44,0.5,0.616666667,0.712962963,0.484216019,0.007688397
2/12/1991,0.526315789,0.403311258,0.355029354,0.51,0.48,0.566666667,0.694444444,0.48082442,0.110179216
3/16/1991,0.48,0.431125828,0.359980431,0.43,0.45,0.4,0.641975309,0.483955127,0.002839987
4/17/1991,0.503157895,0.566225166,0.307553816,0.52,0.48,0.416666667,0.679012346,0.469084268,0.002581784
5/19/1991,0.551578947,0.601986755,0.295596869,0.54,0.52,0.35,0.682098765,0.518914688,0.003562511
