Date,Normalized GEE Cloud Formation 
1/3/1988,0.157396448
2/20/1988,1
3/7/1988,0.000135438
4/24/1988,0.491411842
5/10/1988,0
6/4/1988,0.109238031
8/7/1988,0.531714778
8/23/1988,0.60754343
9/15/1988,0.474252768
10/17/1988,0.043881656
11/2/1988,4.77E-05
12/13/1988,0.016918132
1/14/1989,0.101452949
2/15/1989,0.099539499
3/26/1989,0.030285995
4/11/1989,0.002586108
5/6/1989,3.90E-05
6/14/1989,0.355555849
8/10/1989,0.599208473
8/26/1989,0.188551499
9/11/1989,0.017850573
10/13/1989,3.89E-05
10/29/1989,1.82E-05
12/16/1989,0.429056839
1/24/1990,0.027496175
2/18/1990,0.024153678
3/13/1990,0.203895877
4/14/1990,1.13E-06
5/16/1990,0
6/16/1990,0.140310501
7/19/1990,0.451756556
8/13/1990,0.615983176
9/5/1990,0.264170854
10/16/1990,1.58E-05
11/8/1990,0.000174812
12/19/1990,0.033733243
1/20/1991,0.007688397
2/12/1991,0.110179216
3/16/1991,0.002839987
4/17/1991,0.002581784
5/19/1991,0.003562511
5/28/1991,1.68E-05
7/15/1991,0.597354139
8/7/1991,0.436350279
9/17/1991,0.650369691
10/19/1991,0.036543615
11/20/1991,0.011004287
12/22/1991,0.046570052
1/14/1992,0.073125889
2/15/1992,0.05562806
3/11/1992,0.003612602
4/19/1992,0.022586993
5/14/1992,0.010756182
6/14/1992,0.140310501
7/14/1992,0.490466991
8/18/1992,0.644421042
9/10/1992,0.416651671
10/21/1992,0.001115413
11/22/1992,0.004726623
12/24/1992,0.433078444
1/16/1993,0.048621704
2/17/1993,0.002623526
3/21/1993,0.00129186
4/15/1993,0.002587594
5/17/1993,3.38E-05
6/2/1993,0.000652596
7/27/1993,0.488713404
8/21/1993,0.566904935
9/13/1993,0.389098524
10/15/1993,0.01351022
11/16/1993,0.000411955
12/18/1993,0.041647953
1/19/1994,0.056634359
2/20/1994,0.034413272
3/17/1994,0.000793524
4/18/1994,0.01268913
5/20/1994,3.97E-05
6/5/1994,3.48E-05
7/23/1994,0.592618697
8/15/1994,0.421464488
9/16/1994,0.452349245
10/18/1994,0.034045749
11/19/1994,0.103668958
12/14/1994,0.013383337
1/15/1995,0.07904733
2/16/1995,0.059229248
3/20/1995,0.282711516
4/12/1995,0.169814646
5/23/1995,0.006246357
6/23/1995,0.140310501
7/23/1995,0.490466991
8/18/1995,0.407399918
9/12/1995,0.344020753
10/14/1995,0.1828402
11/15/1995,0.139883483
12/17/1995,0.152095375
1/18/1996,0.192897418
2/10/1996,0.00144518
3/13/1996,0.243424412
4/23/1996,0.027122785
5/16/1996,0.135187057
6/10/1996,0.495550119
7/28/1996,0.512144426
8/13/1996,0.499488145
9/14/1996,0.077981294
10/16/1996,0.0002903
11/17/1996,0.001193633
12/19/1996,0.075803737
1/11/1997,0.057888613
2/12/1997,0.004978433
3/16/1997,0.389240467
4/17/1997,1.92E-05
5/12/1997,2.28E-05
6/12/1997,0.140310501
7/12/1997,0.490466991
8/16/1997,0.499181712
9/17/1997,0.148541946
10/19/1997,0.216184766
11/11/1997,0.012862494
12/13/1997,0.009986011
1/14/1998,0.075023525
2/15/1998,0.20328036
3/19/1998,0.278408449
4/13/1998,2.86E-05
5/15/1998,2.61E-05
6/15/1998,0.140310501
7/18/1998,0.572339096
8/19/1998,0.505697065
8/19/1998,0.466445028
10/13/1998,0
11/14/1998,3.14E-05
12/16/1998,0.540263319
1/17/1999,0.24939476
2/18/1999,0.048672378
3/22/1999,8.55E-06
4/16/1999,0.005388395
5/18/1999,0.016773537
6/18/1999,0.140310501
7/12/1999,0.481902374
